stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1252,MON52OB,MONTGOMERY & 52ND SB,MONTGOMERY ST & W 51ST ST,32.046961,-81.108612,,,,
1255,WLA,WESTLAKE APARTMENTS,ORIOLE RD & LOUIS MILL BLVD,32.037854,-81.141874,,,,
1258,MLK31IB,MLK & 31ST NB,MARTIN LUTHER KING JR BLVD & W 31ST ST,32.063009,-81.103671,,,,
1259,MLK31OB,MLK & 31ST SB,MARTIN LUTHER KING JR BLVD & W ANDERSON ST,32.063252,-81.103799,,,,
1260,MLK33OB,MLK & 33RD SB,,32.061672,-81.104384,,,,
1262,WHTDIA,WHITEFIELD & RIVER BLUFF SB,,31.965395,-81.100827,,,,
1264,FERSHLV,FERGUSON & SHIPYARD NB,,31.944379,-81.11018,,,,
1265,VILLAND,VILLAGE & THE LANDINGS,BANK ST,31.940802,-81.0509,,,,
1267,MONWANB,MONTGOMERY CROSS & WATERS WB,,31.994072,-81.105218,,,,
1268,WATHIOB,WATERS & HIGHLAND SB,,32.00522,-81.101468,,,,
1269,WATCHOB,WATERS & CHRISTOPHER SB,WATERS AVE & CHRISTOPHER DR,32.002824,-81.102371,,,,
1270,WATMTOB,WATERS & MALL TERRACE SB,WATERS AVE & MALL TER,32.00171,-81.102775,,,,
1272,WATSHOB,WATERS & SHERWOOD SB,WATERS AVE & MADRID AVE,31.996989,-81.104549,,,,
1273,WATCROB,WATERS & CORINTH SB,WATERS AVE & UNNAMED ST,31.998371,-81.104007,,,,
1274,WATL1OB,WATERS & LIVE OAK PL #1 SB,WATERS AVE & MADRID AVE,31.993326,-81.105866,,,,
1275,WATL2OB,WATERS & LIVE OAK PL #2 SB,,31.990481,-81.105578,,,,
1276,WATWHOB,WATERS & WHITEFIELD SB,,31.98532,-81.105054,,,,
1277,WHIHAOB,WHITEFIELD & HALCYON SB,,31.98155,-81.105393,,,,
1278,WHIGRAC,WHITEFIELD & GRACE SB,WHITFIELD AVE & KINGS WAY,31.979854,-81.105552,,,,
1279,WHIQTOB,WHITEFIELD & QUAIL SB,WHITFIELD AVE & QUAIL TRL,31.975393,-81.105943,,,,
1280,WHIBUC,WHITEFIELD & BUCKNER SB,WHITFIELD AVE & UNNAMED ST,31.972,-81.104847,,,,
1281,WHIRWOB,WHITEFIELD & RESIDENT 9665 SB,WHITFIELD AVE & UNNAMED ST,31.960332,-81.102366,,,,
1282,WHR9691,WHITEFIELD & RESIDENT 9691 SB,WHITFIELD AVE & UNNAMED ST,31.957226,-81.104012,,,,
1283,WHIWMOB,WHITEFIELD & EDENFIELD SB,WHITFIELD AVE & EDENFIELD LN,31.95596,-81.104862,,,,
1284,WHISCOB,WHITEFIELD & SKYLEX SB,WHITFIELD AVE & EDENFIELD LN,31.954075,-81.106147,,,,
1285,WHIRBOB,WHITEFIELD & RIVERS BEND 1 SB,,31.952252,-81.107517,,,,
1286,WHIRB2,WHITEFIELD & RIVERS BEND 2 SB,,31.949675,-81.110141,,,,
1287,WHIMEOB,WHITEFIELD & MENDEL SB,,31.94734,-81.112679,,,,
1288,SHIRROB,SHIPYARD & RAILROAD EB,,31.945365,-81.113061,,,,
1289,FERSAOB,FERGUSON & SHORE NB,,31.945816,-81.109065,,,,
1290,FERLAOB,FERGUSON & LEHIGH NB,,31.95544,-81.101631,,,,
1291,FERGDC,FERGUSON & DC CHEVRON NB,,31.957694,-81.099102,,,,
1292,DMCPIOB,DIAMOND CAUSEWAY & PINPOINT EB,DIAMOND CSWY & DIAMOND CSWY,31.954384,-81.090195,,,,
1293,DIASPOB,DIAMOND CAUSEWAY & SKIDAWAY ISL PARK EB,,31.94074,-81.057275,,,,
1296,DIASPIB,DIAMOND CAUSEWAY & SKIDAWAY ISL PARK WB,,31.940013,-81.056276,,,,
1297,DIAPPIB,DIAMOND CAUSEWAY & PINPOINT WB,,31.953944,-81.088952,,,,
1298,FERBEIB,FERGUSON & BETHESDA NB,,31.95949,-81.096797,,,,
1299,FERRIB,FERGUSON & RESIDENCE 9503 NB,,31.964796,-81.092111,,,,
1300,FERFCIB,FERGUSON & FORREST CITY CLUB NB,,31.970173,-81.087499,,,,
1301,FERWIIB,FERGUSON & WINTERBERRY NB,,31.975667,-81.082781,,,,
1302,FERREIB,FERGUSON & REMINGTON NB,,31.98099,-81.078263,,,,
1303,FERBCIB,FERGUSON & BEECHWOOD NB,,31.982695,-81.076764,,,,
1304,SKIFENB,SKIDAWAY & FERGUSON NB,,31.986286,-81.074458,,,,
1305,SKINP,SKIDAWAY & NORWOOD PLAZA NB,,31.988045,-81.075212,,,,
1306,MONLMIB,MONTGOMERY CROSS & LAKE MAYER WB,,31.99027,-81.087067,,,,
1307,MONSMIB,MONTGOMERY CROSS & SALLIE MOOD WB,SALLIE MOOD DR & E MONTGOMERY CROSS RD,31.990422,-81.090416,,,,
1308,MONKDIB,MONTGOMERY CROSS & KENT WB,,31.990736,-81.091937,,,,
1309,MONROIB,MONTGOMERY CROSS & ROYAL OAK WB,,31.991749,-81.096105,,,,
1313,WATSWIB,WATERS & SHERWOOD NB,,31.99698,-81.104432,,,,
1314,WATCLIB,WATERS & CORINTH NB,,31.998838,-81.10372,,,,
1315,WATPBIB,WATERS & 7805 NB,,32.001091,-81.102902,,,,
1316,WATCHIB,WATERS & CHRISTOPHER NB,,32.003039,-81.102212,,,,
1318,MLK35O,MLK & 35TH SB,MARTIN LUTHER KING JR BLVD & W 35TH ST,32.060308,-81.104841,,,,
1319,MLK37OB,MLK & 37TH SB,MARTIN LUTHER KING JR BLVD & W 37TH ST,32.058162,-81.10567,,,,
1320,MLK39OB,MLK & 39TH SB,,32.056924,-81.106052,,,,
1323,MLK45OB,MLK & 45TH SB,W 45TH ST & MARTIN LUTHER KING JR BLVD,32.052472,-81.1077,,,,
1325,MLKAMOB,MLK & AMARANTH SB,MARTIN LUTHER KING JR BLVD & ACACIA ST,32.049196,-81.108879,,,,
1326,52FLOB,52ND & FLORANCE WB,W 52ND ST & FLORANCE ST,32.048046,-81.11305,,,,
1327,52STOB,52ND & STEVENS WB,,32.048727,-81.115582,,,,
1328,52HOPOB,52ND & HOPKINS WB,,32.049076,-81.117061,,,,
1329,52RSOB,52ND & ROSS WB,,32.050115,-81.12235,,,,
1330,52ROCKOB,52ND & ROCKDALE WB,MILLS B LANE BLVD & ROCKDALE ST,32.051619,-81.130033,,,,
1331,52WOROB,52ND & WORTH WB,MILLS B LANE BLVD & ROCKDALE ST,32.051968,-81.131821,,,,
1335,OGECHAT,OGEECHEE & CHATHAM PKWY NB,US-17 & CHATHAM PKY,32.048508,-81.164759,,,,
1342,LMBBEV,LOUIS MILL & BEVERLY EB,,32.034731,-81.154137,,,,
1343,LMBACL,LOUIS MILL & ACL EB,,32.033254,-81.148785,,,,
1344,ACLFEN,ACL & FENWICK NB,,32.035211,-81.147914,,,,
1346,WLAPTO,WESTLAKE & PEACHTREE EB,,32.036721,-81.14499,,,,
1348,LIBTUOB,LIBERTY PKWY & TUSKEEGEE SB,LIBERTY PKY & MITCHELL ST,32.050466,-81.137182,,,,
1350,LIBPEOB,LIBERTY PKWY & PENDELTON SB,LIBERTY PKY & PENDLETON ST,32.047854,-81.138063,,,,
1351,LIBSTOB,LIBERTY PKWY & STUYVESANT SB,,32.046283,-81.138541,,,,
1353,LIBVAOB,LIBERTY PKWY & VASSAR SB,,32.043563,-81.139485,,,,
1354,LIBTOOB,LIBERTY PKWY & TOOMER SB,,32.041966,-81.140058,,,,
1355,LIBSTAL,LIBERTY PKWY & STALEY SB,,32.040628,-81.140483,,,,
1356,WLAPTIB,WESTLAKE & PEACHTREE WB,,32.036748,-81.144777,,,,
1357,WLAACLIB,WESTLAKE & ACL WB,,32.037223,-81.146661,,,,
1358,LIBSTIB,LIBERTY PKWY & STALEY NB,,32.040843,-81.140355,,,,
1360,LIBVAIB,LIBERTY PKWY & VASSAR NB,,32.043635,-81.139421,,,,
